Dataset,K=5,K=10,K=20,Combined
ArticularyWordRecognition,0.967,0.963,0.953,0.98
AtrialFibrillation,0.2,0.2,0.2,0.2
BasicMotions,0.975,1.0,0.975,0.975
CharacterTrajectories,0.987,0.987,0.989,0.99
Cricket,,,,
DuckDuckGeese,0.46,0.4,0.56,0.52
EigenWorms,,,,
Epilepsy,0.913,0.928,0.92,0.949
ERing,0.889,0.885,0.885,0.885
EthanolConcentration,,,,
FaceDetection,,,,
FingerMovements,,,,
HandMovementDirection,0.216,0.243,0.324,0.27
Handwriting,0.256,0.273,0.252,0.285
Heartbeat,0.746,0.698,0.727,0.737
InsectWingbeat,,,,
JapaneseVowels,0.968,0.973,0.968,0.968
Libras,0.85,0.889,0.867,0.872
LSST,0.382,0.391,0.396,0.401
MotorImagery,,,,
NATOPS,0.911,0.928,0.928,0.944
PEMS-SF,,,,
PenDigits,0.983,0.985,0.983,0.989
PhonemeSpectra,0.203,0.212,0.214,0.233
RacketSports,0.789,0.75,0.809,0.803
SelfRegulationSCP1,0.782,0.792,0.792,0.867
SelfRegulationSCP2,0.517,0.533,0.511,0.5
SpokenArabicDigits,,,,
StandWalkJump,,,,
UWaveGestureLibrary,0.794,0.712,0.725,0.794