Dataset,K=1,K=2,K=5,K=10,Combined,FordA (K=5)
ACSF1,0.85,0.74,0.82,0.81,0.74,0.74
Adiac,1.0,0.739,0.726,0.716,0.721,0.76
AllGestureWiimoteX,0.91,0.679,0.65,0.657,0.677,0.67
AllGestureWiimoteY,0.92,0.681,0.676,0.686,0.69,0.716
AllGestureWiimoteZ,1.0,0.64,0.674,0.654,0.647,0.699
ArrowHead,0.944,0.777,0.777,0.834,0.771,0.76
BME,1.0,0.953,0.813,0.92,0.953,0.98
Beef,1.0,0.733,0.367,0.667,0.7,0.7
BeetleFly,0.8,0.75,0.75,0.55,0.55,0.75
BirdChicken,1.0,0.75,0.75,0.75,0.85,0.75
CBF,1.0,0.99,0.986,0.94,0.94,0.989
Car,0.983,0.75,0.817,0.8,0.783,0.8
Chinatown,1.0,0.781,0.942,0.843,0.921,0.883
ChlorineConcentration,0.897,0.649,0.606,0.64,0.594,0.7
CinCECGTorso,1.0,0.693,0.775,0.7,0.758,0.799
Coffee,1.0,1.0,0.929,0.964,1.0,1.0
Computers,0.708,0.656,0.692,0.696,0.7,0.68
CricketX,1.0,0.703,0.674,0.664,0.649,0.736
CricketY,1.0,0.597,0.603,0.597,0.582,0.656
CricketZ,1.0,0.692,0.641,0.685,0.633,0.721
DiatomSizeReduction,1.0,0.922,0.951,0.987,0.915,0.944
DistalPhalanxOutlineAgeGroup,0.84,0.748,0.748,0.734,0.741,0.748
DistalPhalanxOutlineCorrect,0.947,0.79,0.772,0.797,0.772,0.775
DistalPhalanxTW,0.86,0.691,0.633,0.683,0.676,0.662
DodgerLoopDay,0.987,0.55,0.5,0.475,0.488,0.488
DodgerLoopGame,0.95,0.891,0.804,0.797,0.855,0.862
DodgerLoopWeekend,0.9,0.884,0.957,0.848,0.754,0.884
ECG200,1.0,0.9,0.85,0.83,0.86,0.91
ECG5000,1.0,0.922,0.91,0.923,0.914,0.928
ECGFiveDays,1.0,0.998,1.0,1.0,0.997,1.0
EOGHorizontalSignal,1.0,0.547,0.511,0.494,0.569,0.536
EOGVerticalSignal,1.0,0.401,0.409,0.42,0.403,0.434
Earthquakes,0.82,0.748,0.748,0.748,0.748,0.748
Crop,0.813,0.725,0.721,0.711,0.716,0.74
ElectricDevices,0.927,0.697,0.68,0.679,0.691,0.701
EthanolLevel,0.661,0.374,0.4,0.388,0.426,0.412
FaceAll,1.0,0.78,0.827,0.756,0.773,0.8
FaceFour,1.0,0.477,0.682,0.545,0.773,0.75
FacesUCR,1.0,0.836,0.84,0.804,0.818,0.86
FiftyWords,1.0,0.721,0.721,0.723,0.725,0.736
Fish,1.0,0.914,0.857,0.834,0.84,0.88
FordA,0.936,0.898,0.914,0.898,0.897,0.918
FordB,0.962,0.778,0.744,0.762,0.751,0.785
FreezerRegularTrain,1.0,0.986,0.991,0.989,0.982,0.989
FreezerSmallTrain,1.0,0.811,0.741,0.783,0.887,0.791
Fungi,1.0,0.742,0.871,0.941,0.962,0.941
GestureMidAirD1,0.976,0.538,0.546,0.615,0.631,0.569
GestureMidAirD2,0.856,0.515,0.523,0.446,0.485,0.538
GestureMidAirD3,0.976,0.3,0.254,0.331,0.323,0.292
GesturePebbleZ1,1.0,0.645,0.564,0.529,0.622,0.669
GesturePebbleZ2,1.0,0.563,0.791,0.551,0.57,0.709
GunPoint,1.0,0.933,0.98,0.973,0.987,0.98
GunPointAgeSpan,1.0,0.94,0.959,0.937,0.908,0.949
GunPointMaleVersusFemale,1.0,1.0,1.0,1.0,1.0,1.0
GunPointOldVersusYoung,1.0,1.0,1.0,1.0,1.0,1.0
Ham,0.945,0.743,0.657,0.59,0.562,0.762
HandOutlines,0.952,0.932,0.916,0.916,0.93,0.935
Haptics,0.755,0.484,0.474,0.477,0.442,0.477
Herring,0.75,0.547,0.5,0.641,0.594,0.578
HouseTwenty,1.0,0.832,0.874,0.849,0.891,0.882
InlineSkate,0.99,0.367,0.404,0.387,0.431,0.407
InsectEPGRegularTrain,1.0,1.0,1.0,1.0,1.0,1.0
InsectEPGSmallTrain,1.0,1.0,1.0,1.0,1.0,1.0
InsectWingbeatSound,0.809,0.599,0.563,0.57,0.548,0.605
ItalyPowerDemand,0.985,0.934,0.941,0.927,0.954,0.946
LargeKitchenAppliances,1.0,0.752,0.784,0.816,0.76,0.776
Lightning2,1.0,0.852,0.689,0.82,0.754,0.836
Lightning7,1.0,0.753,0.699,0.74,0.699,0.712
Mallat,1.0,0.93,0.906,0.939,0.946,0.974
Meat,0.983,0.917,0.85,0.9,0.917,0.9
MedicalImages,0.903,0.754,0.717,0.709,0.708,0.757
MelbournePedestrian,0.804,0.285,0.283,0.29,0.288,0.286
MiddlePhalanxOutlineAgeGroup,0.802,0.656,0.643,0.656,0.662,0.636
MiddlePhalanxOutlineCorrect,0.923,0.801,0.808,0.828,0.794,0.814
MiddlePhalanxTW,0.689,0.558,0.578,0.571,0.584,0.565
MixedShapesRegularTrain,1.0,0.918,0.911,0.908,0.917,0.919
MixedShapesSmallTrain,1.0,0.862,0.844,0.876,0.826,0.868
MoteStrain,1.0,0.779,0.802,0.823,0.83,0.81
NonInvasiveFetalECGThorax1,0.979,0.921,0.907,0.895,0.902,0.922
NonInvasiveFetalECGThorax2,0.989,0.931,0.926,0.922,0.916,0.933
OSULeaf,1.0,0.719,0.607,0.702,0.678,0.744
OliveOil,1.0,0.8,0.833,0.767,0.8,0.8
PLAID,0.583,0.46,0.475,0.471,0.466,0.495
PhalangesOutlinesCorrect,0.818,0.773,0.797,0.787,0.793,0.759
Phoneme,1.0,0.207,0.205,0.207,0.192,0.225
PickupGestureWiimoteZ,0.98,0.54,0.66,0.74,0.58,0.7
PigAirwayPressure,1.0,0.216,0.207,0.221,0.236,0.226
PigArtPressure,1.0,0.736,0.615,0.663,0.663,0.702
PigCVP,1.0,0.495,0.481,0.476,0.481,0.519
Plane,1.0,0.99,1.0,0.99,0.981,0.99
PowerCons,1.0,0.922,0.906,0.939,0.933,0.939
ProximalPhalanxOutlineAgeGroup,0.858,0.834,0.844,0.854,0.849,0.834
ProximalPhalanxOutlineCorrect,0.9,0.859,0.873,0.856,0.859,0.869
ProximalPhalanxTW,0.922,0.785,0.81,0.82,0.82,0.815
RefrigerationDevices,0.707,0.515,0.525,0.504,0.504,0.541
Rock,1.0,0.56,0.62,0.76,0.64,0.66
ScreenType,0.787,0.381,0.443,0.44,0.411,0.467
SemgHandGenderCh2,0.987,0.84,0.848,0.817,0.795,0.828
SemgHandMovementCh2,1.0,0.636,0.607,0.593,0.569,0.667
SemgHandSubjectCh2,1.0,0.758,0.773,0.709,0.716,0.764
ShakeGestureWiimoteZ,1.0,0.78,0.72,0.86,0.8,0.84
ShapeletSim,1.0,0.511,0.522,0.561,0.594,0.589
ShapesAll,0.995,0.812,0.798,0.825,0.823,0.84
SmallKitchenAppliances,0.691,0.691,0.696,0.717,0.704,0.723
SmoothSubspace,1.0,0.947,0.92,0.98,0.973,0.973
SonyAIBORobotSurface1,1.0,0.745,0.837,0.651,0.659,0.739
SonyAIBORobotSurface2,1.0,0.793,0.795,0.799,0.869,0.842
StarLightCurves,0.998,0.968,0.97,0.97,0.964,0.971
Strawberry,0.971,0.946,0.914,0.935,0.932,0.938
SwedishLeaf,0.984,0.906,0.912,0.91,0.907,0.922
Symbols,1.0,0.908,0.886,0.847,0.886,0.923
SyntheticControl,0.997,0.983,0.997,0.977,0.98,0.99
ToeSegmentation1,1.0,0.864,0.781,0.816,0.864,0.886
ToeSegmentation2,0.917,0.8,0.877,0.838,0.785,0.854
Trace,1.0,1.0,1.0,1.0,1.0,1.0
TwoLeadECG,1.0,0.971,0.792,0.965,0.857,0.935
TwoPatterns,1.0,1.0,1.0,1.0,1.0,1.0
UMD,1.0,0.986,0.882,0.972,0.979,1.0
UWaveGestureLibraryAll,0.991,0.934,0.916,0.918,0.9,0.951
UWaveGestureLibraryX,0.98,0.805,0.795,0.786,0.79,0.808
UWaveGestureLibraryY,0.948,0.716,0.718,0.714,0.708,0.736
UWaveGestureLibraryZ,0.956,0.736,0.731,0.714,0.729,0.752
Wafer,1.0,0.994,0.991,0.994,0.995,0.998
Wine,0.526,0.611,0.5,0.5,0.5,0.5
WordSynonyms,1.0,0.621,0.589,0.6,0.619,0.65
Worms,1.0,0.558,0.545,0.61,0.519,0.623
WormsTwoClass,0.956,0.662,0.636,0.662,0.61,0.662
Yoga,1.0,0.828,0.8,0.814,0.781,0.859
